threshold_name,threshold_value,volume_id,sample_count,supported_pixels,support_weight_sum,method,high_risk_prevalence,auprc,auroc
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B2,0.19924788540386407,0.39907595746136443,0.7605850444544002
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B3,0.19924788540386407,0.26770481180834954,0.5885463755062271
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B4,0.19924788540386407,0.4935798714541985,0.8140815087355155
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B5,0.19924788540386407,0.1991558907199432,0.4996201095682147
q95,2.0520856380462646,file_brain_AXT2_207_2070054,16,3276800,899789.96484375,B6,0.19924788540386407,0.27498755989039014,0.6874244851059523
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,C0,0.43509221334017745,0.9527499467044932,0.96037395917724
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,U1,0.43509221334017745,0.8619994107734227,0.8695634254678515
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,U2a,0.43509221334017745,0.5444418299859377,0.6740104933868659
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,U2b,0.43509221334017745,0.5687171736014496,0.7511240687820745
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B1,0.43509221334017745,0.7371249001016016,0.8360206076966715
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B2,0.43509221334017745,0.7408617362567984,0.8466744950795233
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B3,0.43509221334017745,0.5379272508269645,0.5738647580339359
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B4,0.43509221334017745,0.7051220834132931,0.8101602850170596
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B5,0.43509221334017745,0.43621138225910727,0.501556314761406
q85,1.4107755422592163,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B6,0.43509221334017745,0.6823585795724203,0.813385699513968
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,C0,0.1605692845552153,0.747237214525428,0.9466497050825392
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,U1,0.1605692845552153,0.6131004302326194,0.8948915881394612
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,U2a,0.1605692845552153,0.16469161234665053,0.5502988034154339
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,U2b,0.1605692845552153,0.15962020555091339,0.5597395039287268
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B1,0.1605692845552153,0.3823664947930181,0.7949778535221406
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B2,0.1605692845552153,0.38599600996386707,0.8094937243313326
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B3,0.1605692845552153,0.30496018758071236,0.6469796001569326
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B4,0.1605692845552153,0.32954172264235376,0.7706247520953681
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B5,0.1605692845552153,0.16041920991942388,0.4990316782222484
q95,2.0520856380462646,file_brain_AXT2_207_2070194,16,3276800,832136.7465820312,B6,0.1605692845552153,0.29228941129771957,0.749960215691862
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,C0,0.42931814404628194,0.9147081803056992,0.9371963187103175
q85,1.4107755422592163,file_brain_AXT2_207_2070208,16,3276800,845937.884765625,U1,0.42931814404628194,0.8007290409492742,0.8350710068945656
